com_x,com_y,com_z,bos_x,bos_y,bos_z
0.03563313734146855,-0.018603529901273785,0.7990810764092269,-0.07379228621721268,-0.06461206078529358,0.004959762096405029
0.03976726963795641,-0.020854792463523085,0.8004320057169082,-0.08205323666334152,-0.07174327969551086,0.008856803178787231
0.04192187194061535,-0.018845983057893728,0.7774840833999774,-0.08841541036963463,-0.06433719396591187,0.0034095942974090576
0.04284409916689318,-0.016587114077742375,0.7814291351584977,-0.09797283634543419,-0.06227031350135803,0.005839794874191284
0.04271767930157723,-0.01686133091808647,0.8020162230858239,-0.10612483695149422,-0.04907509684562683,0.015794724225997925
0.03826503197672546,-0.0193592014812654,0.8289598476502202,-0.12222789227962494,-0.041566938161849976,0.023280620574951172
0.030867832057899034,-0.021822636005698993,0.8437403327354821,-0.14327409118413925,-0.06194719672203064,0.027947038412094116
0.026724447173777442,-0.018807351717384912,0.8489831019473332,-0.16140708327293396,-0.07776910066604614,0.026440858840942383
0.018871070732993465,-0.013934092047393962,0.8403193184124526,-0.17260991036891937,-0.0643971860408783,0.024928390979766846
0.011886795614195124,-0.0070645989910248785,0.8443992167070347,-0.17281243205070496,-0.03128954768180847,0.023920178413391113
0.006724772962831681,7.648121926092215e-05,0.837071987634064,-0.1729441061615944,-0.004535794258117676,0.02516806125640869
0.001870691429783582,0.007359277785465283,0.8344091043356924,-0.17631976678967476,0.007740885019302368,0.025573313236236572
-0.0005782555548414094,0.012894715609089016,0.8364372535738891,-0.18326657637953758,0.00984242558479309,0.023271679878234863
-0.006280419366654527,0.012884411263850424,0.8436773586337283,-0.18926439434289932,0.008027106523513794,0.016263872385025024
-0.012750078425292044,0.015886106990998784,0.8387298065808507,-0.19297765754163265,0.011639952659606934,0.008785426616668701
-0.014886753649641102,0.020895416634057154,0.8447672920201414,-0.18586412444710732,0.016970008611679077,0.009380578994750977
-0.013456823953217076,0.025157999639870008,0.8382630934638362,-0.17929507419466972,0.004396200180053711,0.00943043828010559
-0.011992802057335132,0.024529167817484945,0.8425228223044384,-0.1775561049580574,-0.030080825090408325,0.008571416139602661
-0.009475446945076344,0.022464702911274403,0.8354980530277373,-0.1702175922691822,-0.055529892444610596,0.014396309852600098
-0.007716812037171854,0.021423272996820418,0.8238851688241444,-0.16075581312179565,-0.05869877338409424,0.016285717487335205
-0.004429827610491424,0.018898987033033884,0.8108321626660643,-0.14826343953609467,-0.04446934163570404,0.019936978816986084
-0.0026731915651790556,0.015258373223966165,0.8004891484014449,-0.12940138950943947,-0.0374906063079834,0.02047067880630493
-0.0010505289400136598,0.01174977652488216,0.789350614656684,-0.11177778244018555,-0.04259034991264343,0.021714746952056885
0.0005611828418188198,0.005535920204654816,0.7715939925242494,-0.09519030898809433,-0.062180548906326294,0.026929020881652832
