Torso_Lower,Torso_Upper,Head_Neck,L_UpperLeg,L_LowerLeg,R_UpperLeg,R_LowerLeg,L_UpperArm,L_LowerArm,R_UpperArm,R_LowerArm
"[-0.063161, -0.031702, 0.997500]","[-0.036008, 0.154449, 0.987344]","[-0.134875, 0.099699, 0.985834]","[-0.271975, 0.163318, -0.948344]","[-0.155403, -0.087367, -0.983980]","[-0.078091, 0.003108, -0.996941]","[0.113682, -0.142885, -0.983189]","[-0.825970, -0.160650, -0.540339]","[-0.512873, 0.858334, -0.014987]","[0.420903, 0.897605, -0.130940]","[-0.507481, 0.559059, 0.655679]"
"[-0.100939, 0.004856, 0.994881]","[-0.113251, 0.231209, 0.966290]","[-0.200883, 0.197424, 0.959516]","[-0.335011, 0.171682, -0.926441]","[-0.115111, -0.038726, -0.992597]","[-0.203265, -0.011724, -0.979054]","[0.128435, -0.128583, -0.983347]","[-0.688160, -0.242168, -0.683952]","[-0.467164, 0.882845, -0.048401]","[0.398508, 0.871173, -0.286790]","[-0.653707, 0.533644, 0.536554]"
"[-0.123128, 0.046853, 0.991284]","[-0.212841, 0.295292, 0.931398]","[-0.362976, 0.247575, 0.898307]","[-0.365649, 0.232063, -0.901359]","[-0.057859, 0.019601, -0.998132]","[-0.289673, 0.007106, -0.957099]","[0.143023, -0.108685, -0.983734]","[-0.565277, -0.275777, -0.777438]","[-0.419613, 0.906784, -0.040844]","[0.281467, 0.839764, -0.464298]","[-0.679590, 0.624207, 0.385387]"
"[-0.160866, 0.053784, 0.985510]","[-0.316162, 0.332698, 0.888456]","[-0.556643, 0.233833, 0.797164]","[-0.394745, 0.280525, -0.874918]","[-0.006943, 0.010829, -0.999917]","[-0.355206, 0.046815, -0.933615]","[0.174211, -0.070700, -0.982167]","[-0.487185, -0.258663, -0.834113]","[-0.424279, 0.897633, -0.119341]","[0.239778, 0.786468, -0.569188]","[-0.732733, 0.600790, 0.319616]"
"[-0.190894, 0.096508, 0.976855]","[-0.418576, 0.382522, 0.823693]","[-0.750034, 0.189189, 0.633764]","[-0.443880, 0.283037, -0.850212]","[0.014070, 0.012782, -0.999819]","[-0.419027, 0.048058, -0.906701]","[0.188821, -0.086659, -0.978180]","[-0.425842, -0.317093, -0.847414]","[-0.449662, 0.873847, -0.184919]","[0.246278, 0.747067, -0.617444]","[-0.805282, 0.557724, 0.201158]"
"[-0.224705, 0.163768, 0.960566]","[-0.516267, 0.430599, 0.740306]","[-0.851224, 0.208277, 0.481703]","[-0.503442, 0.280273, -0.817308]","[0.046229, 0.032053, -0.998416]","[-0.487610, 0.033554, -0.872416]","[0.214899, -0.130870, -0.967828]","[-0.372671, -0.392779, -0.840738]","[-0.432624, 0.861762, -0.264960]","[0.288615, 0.673467, -0.680546]","[-0.837150, 0.536729, 0.105364]"
"[-0.258870, 0.203354, 0.944263]","[-0.611349, 0.447746, 0.652516]","[-0.896331, 0.312697, 0.314344]","[-0.523331, 0.277947, -0.805525]","[0.089239, 0.060104, -0.994195]","[-0.529993, 0.035561, -0.847256]","[0.233987, -0.145500, -0.961291]","[-0.317625, -0.412849, -0.853622]","[-0.466950, 0.835165, -0.290614]","[0.321917, 0.611387, -0.722894]","[-0.842450, 0.538144, 0.026042]"
"[-0.261076, 0.232748, 0.936839]","[-0.669405, 0.442380, 0.596823]","[-0.905768, 0.382747, 0.181906]","[-0.537081, 0.296117, -0.789847]","[0.133967, 0.063654, -0.988939]","[-0.551657, 0.043987, -0.832910]","[0.242464, -0.142001, -0.959712]","[-0.261327, -0.406342, -0.875553]","[-0.426627, 0.803844, -0.414516]","[0.321920, 0.548509, -0.771690]","[-0.857408, 0.504346, -0.102403]"
"[-0.245487, 0.284401, 0.926743]","[-0.712112, 0.433883, 0.551943]","[-0.901520, 0.429918, 0.049318]","[-0.524436, 0.313220, -0.791745]","[0.131244, 0.045314, -0.990314]","[-0.554282, 0.062719, -0.829963]","[0.252775, -0.124887, -0.959431]","[-0.226669, -0.443950, -0.866908]","[-0.476542, 0.777189, -0.410955]","[0.340491, 0.513312, -0.787767]","[-0.872044, 0.472026, -0.129344]"
"[-0.252337, 0.315266, 0.914841]","[-0.760801, 0.399201, 0.511685]","[-0.919575, 0.386401, -0.071240]","[-0.537054, 0.279941, -0.795742]","[0.097615, 0.050112, -0.993962]","[-0.546274, 0.080778, -0.833702]","[0.246392, -0.085586, -0.965384]","[-0.209611, -0.445766, -0.870262]","[-0.472984, 0.699179, -0.536129]","[0.374620, 0.499519, -0.781115]","[-0.891730, 0.411554, -0.188258]"
