Torso_Lower,Torso_Upper,Head_Neck,L_UpperLeg,L_LowerLeg,R_UpperLeg,R_LowerLeg,L_UpperArm,L_LowerArm,R_UpperArm,R_LowerArm
"[0.009562, 0.152464, 0.988263]","[0.009431, -0.012879, 0.999873]","[-0.204506, -0.367289, 0.907346]","[-0.318685, 0.063013, -0.945764]","[-0.530166, 0.147067, -0.835042]","[0.269400, -0.052619, -0.961590]","[-0.311563, -0.120024, -0.942615]","[0.941788, -0.241261, 0.234153]","[0.750511, 0.657011, 0.071204]","[-0.643105, -0.291038, -0.708316]","[-0.300150, -0.843661, -0.445136]"
"[-0.016049, 0.157995, 0.987309]","[-0.020470, -0.019213, 0.999606]","[-0.185429, -0.344245, 0.920387]","[-0.338261, 0.111850, -0.934382]","[-0.519072, 0.138869, -0.843374]","[0.242498, -0.039191, -0.969360]","[-0.295198, -0.151155, -0.943404]","[0.959063, -0.184620, 0.214742]","[0.673891, 0.738634, 0.017046]","[-0.670273, -0.204392, -0.713413]","[-0.276985, -0.757394, -0.591298]"
"[-0.019877, 0.154175, 0.987844]","[-0.051881, 0.017547, 0.998499]","[-0.170121, -0.359903, 0.917349]","[-0.322520, 0.169343, -0.931292]","[-0.506842, 0.145602, -0.849654]","[0.237267, -0.027151, -0.971065]","[-0.287014, -0.188232, -0.939251]","[0.934986, -0.215212, 0.281931]","[0.589907, 0.801877, 0.094883]","[-0.657136, 0.026603, -0.753303]","[-0.417732, -0.407044, -0.812290]"
"[-0.024216, 0.145126, 0.989117]","[-0.036615, 0.082710, 0.995901]","[-0.153009, -0.372011, 0.915531]","[-0.300343, 0.167485, -0.939012]","[-0.502870, 0.125593, -0.855189]","[0.232345, -0.019109, -0.972446]","[-0.297156, -0.225741, -0.927760]","[0.877569, -0.154632, 0.453829]","[0.417850, 0.905295, 0.076439]","[-0.674607, 0.204091, -0.709403]","[-0.395603, -0.414714, -0.819458]"
"[-0.025242, 0.120503, 0.992392]","[-0.017662, 0.135277, 0.990650]","[-0.170155, -0.341895, 0.924205]","[-0.282564, 0.126301, -0.950897]","[-0.509717, 0.064432, -0.857926]","[0.258912, -0.029743, -0.965443]","[-0.315870, -0.275423, -0.907947]","[0.742165, -0.159115, 0.651055]","[0.283338, 0.956235, 0.073035]","[-0.699613, 0.236556, -0.674228]","[-0.541952, -0.393456, -0.742617]"
"[-0.026244, 0.101103, 0.994530]","[0.009676, 0.145618, 0.989294]","[-0.207432, -0.269040, 0.940526]","[-0.249770, 0.086726, -0.964414]","[-0.523111, 0.043516, -0.851153]","[0.280905, -0.014124, -0.959632]","[-0.329516, -0.340630, -0.880563]","[0.602770, -0.156316, 0.782454]","[0.121128, 0.991855, 0.039395]","[-0.741596, 0.415611, -0.526596]","[-0.487064, -0.590273, -0.643697]"
"[-0.011783, 0.114741, 0.993326]","[0.020115, 0.106734, 0.994084]","[-0.271222, -0.210247, 0.939274]","[-0.213629, 0.090887, -0.972678]","[-0.525481, 0.055023, -0.849025]","[0.269111, -0.021350, -0.962872]","[-0.334245, -0.371994, -0.865968]","[0.351121, -0.177032, 0.919442]","[0.017503, 0.992532, 0.120723]","[-0.752530, 0.512981, -0.412976]","[-0.172127, -0.857127, -0.485495]"
"[0.006014, 0.121627, 0.992558]","[0.036030, 0.052037, 0.997995]","[-0.298457, -0.183095, 0.936696]","[-0.170577, 0.078124, -0.982242]","[-0.523773, 0.113410, -0.844275]","[0.261716, -0.038779, -0.964366]","[-0.341740, -0.348873, -0.872640]","[0.004256, -0.082065, 0.996618]","[-0.041845, 0.984865, 0.168197]","[-0.758892, 0.611125, -0.224964]","[0.531179, -0.731957, -0.426717]"
"[-0.004101, 0.100606, 0.994918]","[0.052740, 0.019040, 0.998427]","[-0.274956, -0.143100, 0.950748]","[-0.144520, 0.079898, -0.986271]","[-0.499334, 0.058342, -0.864443]","[0.297288, -0.018278, -0.954613]","[-0.351944, -0.299389, -0.886849]","[-0.314935, -0.033018, 0.948539]","[0.009740, 0.976933, 0.213325]","[-0.689469, 0.715795, -0.110767]","[0.795692, -0.432915, -0.423626]"
"[-0.007338, 0.055950, 0.998407]","[0.059574, 0.038511, 0.997481]","[-0.260184, -0.115818, 0.958588]","[-0.119211, 0.093023, -0.988502]","[-0.475971, -0.031624, -0.878892]","[0.314689, -0.029995, -0.948721]","[-0.350924, -0.262455, -0.898872]","[-0.380515, -0.018263, 0.924594]","[0.008847, 0.955363, 0.295302]","[-0.510701, 0.856677, -0.072724]","[0.836890, -0.247970, -0.487982]"
"[0.009976, 0.026161, 0.999608]","[0.029237, 0.037869, 0.998855]","[-0.269359, -0.150182, 0.951258]","[-0.062566, 0.080049, -0.994825]","[-0.487406, -0.073016, -0.870117]","[0.360032, -0.077164, -0.929743]","[-0.365778, -0.288719, -0.884787]","[-0.416499, 0.095756, 0.904079]","[0.074026, 0.924035, 0.375072]","[-0.534963, 0.827302, 0.171423]","[0.882732, -0.277501, -0.379179]"
"[0.032238, 0.018077, 0.999317]","[-0.007324, 0.036344, 0.999312]","[-0.250596, -0.187479, 0.949765]","[-0.029786, 0.050543, -0.998278]","[-0.490917, -0.102829, -0.865116]","[0.394565, -0.078918, -0.915473]","[-0.358819, -0.373653, -0.855355]","[-0.499513, 0.013874, 0.866196]","[0.042489, 0.934538, 0.353319]","[-0.362778, 0.766494, 0.529980]","[0.963876, -0.077966, -0.254686]"
"[0.028119, 0.028607, 0.999195]","[-0.046363, 0.060954, 0.997063]","[-0.216910, -0.178701, 0.959696]","[-0.058783, -0.015937, -0.998144]","[-0.468448, -0.054026, -0.881837]","[0.388414, -0.127722, -0.912591]","[-0.336781, -0.385210, -0.859181]","[-0.593339, -0.135116, 0.793532]","[-0.033405, 0.972378, 0.231009]","[-0.041273, 0.816702, 0.575582]","[0.998008, 0.060669, -0.017310]"
"[0.011638, 0.034556, 0.999335]","[-0.080907, 0.125595, 0.988777]","[-0.218912, -0.157362, 0.962972]","[-0.066582, -0.061528, -0.995882]","[-0.426207, 0.001674, -0.904624]","[0.353074, -0.155555, -0.922573]","[-0.292987, -0.328584, -0.897881]","[-0.675328, -0.266077, 0.687848]","[-0.224696, 0.963340, 0.146584]","[0.122266, 0.837509, 0.532570]","[0.958984, 0.217760, 0.181464]"
"[-0.019253, 0.065795, 0.997647]","[-0.124147, 0.163051, 0.978776]","[-0.215858, -0.158209, 0.963522]","[-0.073556, -0.025468, -0.996966]","[-0.407106, -0.033770, -0.912756]","[0.323793, -0.133402, -0.936676]","[-0.277768, -0.298073, -0.913235]","[-0.776491, -0.371657, 0.508854]","[-0.749015, 0.662543, -0.003560]","[0.217928, 0.830318, 0.512913]","[0.888392, 0.269850, 0.371403]"
"[-0.075262, 0.059824, 0.995368]","[-0.166369, 0.211479, 0.963119]","[-0.201097, -0.165864, 0.965427]","[-0.092167, 0.019720, -0.995548]","[-0.347677, -0.071507, -0.934884]","[0.304063, -0.102104, -0.947164]","[-0.269623, -0.252960, -0.929147]","[-0.732189, -0.598443, 0.325215]","[-0.790157, 0.558580, -0.252270]","[0.303846, 0.831205, 0.465592]","[0.830806, 0.295201, 0.471824]"
"[-0.139911, 0.052102, 0.988792]","[-0.234846, 0.262130, 0.936021]","[-0.199646, -0.163337, 0.966159]","[-0.090157, 0.026445, -0.995576]","[-0.319411, -0.014958, -0.947498]","[0.240929, -0.105196, -0.964825]","[-0.255190, -0.261158, -0.930954]","[-0.698104, -0.713176, 0.063494]","[-0.477041, 0.853489, -0.209736]","[0.405396, 0.823706, 0.396436]","[0.792219, 0.207051, 0.574038]"
"[-0.187443, 0.085891, 0.978513]","[-0.313915, 0.315697, 0.895429]","[-0.196300, -0.181082, 0.963678]","[-0.094818, 0.061532, -0.993591]","[-0.254019, 0.102542, -0.961748]","[0.134984, -0.159473, -0.977930]","[-0.198276, -0.263359, -0.944102]","[-0.623701, -0.701076, -0.345672]","[-0.291118, 0.920405, -0.260968]","[0.451624, 0.810993, 0.371923]","[0.755800, 0.197211, 0.624399]"
"[-0.256482, 0.137038, 0.956785]","[-0.404275, 0.332815, 0.851936]","[-0.200115, -0.151424, 0.968000]","[-0.135121, 0.116719, -0.983930]","[-0.169001, 0.215658, -0.961733]","[0.002963, -0.199803, -0.979832]","[-0.128888, -0.216153, -0.967815]","[-0.477616, -0.628351, -0.614051]","[-0.420300, 0.883841, -0.205360]","[0.540895, 0.779859, 0.315045]","[0.728640, 0.181381, 0.660442]"
"[-0.314800, 0.158106, 0.935897]","[-0.495122, 0.342982, 0.798259]","[-0.176384, -0.130430, 0.975642]","[-0.137502, 0.086909, -0.986681]","[-0.132400, 0.277265, -0.951627]","[-0.102664, -0.236437, -0.966208]","[-0.079915, -0.179910, -0.980432]","[-0.408951, -0.605055, -0.683131]","[-0.464941, 0.813784, -0.348693]","[0.658728, 0.727486, 0.191941]","[0.609143, -0.100077, 0.786721]"
"[-0.346716, 0.181635, 0.920216]","[-0.578460, 0.329951, 0.746000]","[-0.212403, -0.118979, 0.969912]","[-0.168329, 0.031917, -0.985214]","[-0.095363, 0.337049, -0.936645]","[-0.207003, -0.261616, -0.942712]","[-0.029764, -0.170266, -0.984949]","[-0.363338, -0.522964, -0.771035]","[-0.461582, 0.647133, -0.606763]","[0.688267, 0.725013, 0.025390]","[0.329385, -0.569451, 0.753147]"
"[-0.363689, 0.212665, 0.906920]","[-0.648986, 0.305384, 0.696820]","[-0.258464, -0.111475, 0.959567]","[-0.173081, -0.015648, -0.984783]","[-0.025105, 0.390839, -0.920117]","[-0.273423, -0.292171, -0.916448]","[0.018200, -0.150904, -0.988381]","[-0.237936, -0.417823, -0.876818]","[-0.349948, 0.524582, -0.776112]","[0.716113, 0.668419, -0.200993]","[0.061621, -0.825081, 0.561645]"
"[-0.355380, 0.257013, 0.898693]","[-0.691971, 0.296157, 0.658382]","[-0.286712, -0.085202, 0.954220]","[-0.181566, -0.060283, -0.981529]","[0.056177, 0.413995, -0.908544]","[-0.330969, -0.310062, -0.891247]","[0.038307, -0.147761, -0.988281]","[-0.260059, -0.385789, -0.885176]","[-0.183961, 0.600341, -0.778299]","[0.574748, 0.775422, -0.261507]","[-0.026311, -0.830150, 0.556919]"
"[-0.348408, 0.272782, 0.896773]","[-0.716270, 0.268839, 0.643959]","[-0.267037, -0.070871, 0.961077]","[-0.176199, -0.092478, -0.980001]","[0.150665, 0.392962, -0.907128]","[-0.378905, -0.319426, -0.868561]","[0.072646, -0.141736, -0.987235]","[-0.295264, -0.450645, -0.842459]","[-0.168165, 0.599951, -0.782164]","[0.574008, 0.784613, -0.234302]","[-0.273816, -0.740806, 0.613377]"
"[-0.380031, 0.226498, 0.896814]","[-0.715458, 0.262758, 0.647362]","[-0.263487, -0.038464, 0.963896]","[-0.145714, -0.140343, -0.979322]","[0.160732, 0.371064, -0.914591]","[-0.402114, -0.317774, -0.858676]","[0.078624, -0.131825, -0.988150]","[-0.341439, -0.422707, -0.839487]","[-0.086020, 0.692258, -0.716505]","[0.586491, 0.770471, -0.249806]","[-0.479981, -0.758756, 0.440349]"
"[-0.384257, 0.208039, 0.899481]","[-0.685270, 0.278810, 0.672807]","[-0.263339, -0.109273, 0.958495]","[-0.080382, -0.227693, -0.970409]","[0.107389, 0.274283, -0.955634]","[-0.385844, -0.313177, -0.867782]","[0.086302, -0.127783, -0.988040]","[-0.395671, -0.432267, -0.810302]","[-0.015571, 0.717355, -0.696534]","[0.562962, 0.762058, -0.319907]","[-0.568830, -0.785385, 0.244137]"
"[-0.341453, 0.218445, 0.914162]","[-0.660709, 0.302789, 0.686864]","[-0.305758, -0.092180, 0.947637]","[-0.048215, -0.285616, -0.957130]","[0.092876, 0.135507, -0.986414]","[-0.351424, -0.315288, -0.881529]","[0.072495, -0.186498, -0.979777]","[-0.535332, -0.529948, -0.657704]","[0.116625, 0.762677, -0.636177]","[0.475452, 0.766753, -0.431318]","[-0.345251, -0.851267, 0.395154]"
"[-0.312426, 0.237584, 0.919752]","[-0.647485, 0.286971, 0.705982]","[-0.305007, -0.126825, 0.943868]","[0.006175, -0.326962, -0.945017]","[0.057582, 0.045403, -0.997308]","[-0.309782, -0.323276, -0.894163]","[0.056562, -0.174238, -0.983078]","[-0.540338, -0.612765, -0.576675]","[0.151807, 0.743125, -0.651706]","[0.380918, 0.754481, -0.534473]","[-0.312126, -0.942622, 0.118500]"
"[-0.304208, 0.214387, 0.928168]","[-0.662919, 0.221837, 0.715072]","[-0.306599, -0.126482, 0.943398]","[0.063960, -0.339543, -0.938413]","[0.057269, 0.012026, -0.998286]","[-0.277024, -0.329218, -0.902703]","[0.084972, -0.145963, -0.985634]","[-0.552648, -0.638875, -0.535182]","[0.296099, 0.821707, -0.486952]","[0.353218, 0.732898, -0.581462]","[-0.327570, -0.910072, -0.253903]"
"[-0.320986, 0.188789, 0.928077]","[-0.641707, 0.202642, 0.739695]","[-0.255476, -0.096792, 0.961958]","[0.107990, -0.388355, -0.915161]","[0.113497, 0.033079, -0.992988]","[-0.211705, -0.349411, -0.912739]","[0.118528, -0.084943, -0.989311]","[-0.488536, -0.740470, -0.461560]","[0.255897, 0.822928, -0.507253]","[0.331543, 0.692569, -0.640646]","[-0.282978, -0.813157, -0.508624]"
"[-0.317575, 0.169493, 0.932962]","[-0.606398, 0.181638, 0.774138]","[-0.232368, -0.054407, 0.971105]","[0.148941, -0.487743, -0.860188]","[0.147549, 0.079551, -0.985850]","[-0.144128, -0.358766, -0.922233]","[0.158778, -0.011790, -0.987244]","[-0.461386, -0.789396, -0.404942]","[0.150791, 0.853740, -0.498387]","[0.308883, 0.727405, -0.612759]","[-0.196266, -0.758702, -0.621169]"
"[-0.327435, 0.183448, 0.926894]","[-0.541599, 0.214576, 0.812790]","[-0.169018, -0.050483, 0.984319]","[0.212642, -0.607878, -0.765028]","[0.215569, 0.071083, -0.973898]","[-0.068947, -0.341519, -0.937342]","[0.151226, 0.015320, -0.988381]","[-0.332467, -0.833652, -0.441011]","[-0.017747, 0.714337, -0.699577]","[0.289037, 0.742308, -0.604513]","[-0.028063, -0.578048, -0.815520]"
"[-0.338351, 0.184590, 0.922738]","[-0.508587, 0.237411, 0.827632]","[-0.186989, -0.045644, 0.981301]","[0.265066, -0.638197, -0.722804]","[0.181589, 0.017179, -0.983224]","[0.004931, -0.323156, -0.946333]","[0.122491, 0.069633, -0.990024]","[-0.308589, -0.855558, -0.415683]","[-0.029243, 0.613408, -0.789224]","[0.241416, 0.792536, -0.560004]","[0.275072, 0.013594, -0.961328]"
"[-0.313195, 0.179952, 0.932484]","[-0.510442, 0.240718, 0.825532]","[-0.217748, -0.140208, 0.965882]","[0.320275, -0.645777, -0.693106]","[0.107225, 0.008786, -0.994196]","[0.077732, -0.360658, -0.929453]","[0.063177, 0.145782, -0.987297]","[-0.214712, -0.935862, -0.279392]","[-0.070778, 0.474352, -0.877485]","[0.156672, 0.888511, -0.431280]","[0.399923, 0.421547, -0.813855]"
"[-0.299484, 0.169921, 0.938848]","[-0.502650, 0.248767, 0.827924]","[-0.270535, -0.186789, 0.944416]","[0.340139, -0.672608, -0.657194]","[0.049364, 0.027461, -0.998403]","[0.130537, -0.420743, -0.897739]","[-0.022917, 0.179518, -0.983488]","[-0.192582, -0.959775, -0.204315]","[-0.021488, 0.584266, -0.811278]","[0.077095, 0.959838, -0.269755]","[0.604591, 0.607579, -0.515090]"
"[-0.318280, 0.199969, 0.926666]","[-0.527775, 0.208070, 0.823505]","[-0.222710, -0.176277, 0.958815]","[0.335215, -0.679962, -0.652138]","[-0.012356, 0.037758, -0.999211]","[0.127223, -0.507120, -0.852434]","[-0.067253, 0.154871, -0.985643]","[-0.150935, -0.974832, -0.164076]","[0.104314, 0.875298, -0.472200]","[0.043949, 0.958970, -0.280081]","[0.283861, 0.883916, -0.371639]"
"[-0.329983, 0.250857, 0.910045]","[-0.576430, 0.197208, 0.792993]","[-0.203120, -0.178337, 0.962776]","[0.283345, -0.666791, -0.689279]","[-0.093470, -0.019357, -0.995434]","[0.065050, -0.575069, -0.815514]","[-0.082151, 0.104968, -0.991077]","[-0.035019, -0.980338, -0.194195]","[0.268692, 0.913378, -0.305852]","[0.150889, 0.969765, -0.191804]","[0.177959, 0.967089, 0.181849]"
"[-0.342984, 0.286186, 0.894684]","[-0.621293, 0.196667, 0.758497]","[-0.204983, -0.258847, 0.943917]","[0.241792, -0.619906, -0.746494]","[-0.125517, -0.056864, -0.990460]","[0.059842, -0.619045, -0.783073]","[-0.129704, 0.033409, -0.990990]","[0.171899, -0.948943, -0.264495]","[0.299039, 0.788923, -0.536821]","[0.186051, 0.971632, -0.146001]","[0.430826, 0.757200, 0.490954]"
"[-0.344635, 0.294991, 0.891183]","[-0.646694, 0.209012, 0.733553]","[-0.294655, -0.366714, 0.882440]","[0.263359, -0.457308, -0.849418]","[-0.162904, -0.026557, -0.986285]","[0.137826, -0.608969, -0.781128]","[-0.170204, -0.060857, -0.983528]","[0.114429, -0.989466, -0.088674]","[0.492878, 0.786271, -0.372625]","[0.096343, 0.987990, -0.120802]","[0.439943, 0.473333, 0.763155]"
"[-0.370500, 0.327351, 0.869236]","[-0.667967, 0.250867, 0.700633]","[-0.395100, -0.430749, 0.811389]","[0.326907, -0.297646, -0.896961]","[-0.254795, 0.004771, -0.966983]","[0.179047, -0.602053, -0.778122]","[-0.218342, -0.043252, -0.974913]","[0.101235, -0.980409, -0.168967]","[0.445949, 0.580484, -0.681299]","[0.059530, 0.993460, -0.097436]","[0.374520, 0.505811, 0.777103]"
"[-0.383241, 0.319989, 0.866448]","[-0.701937, 0.288199, 0.651326]","[-0.488614, -0.413939, 0.768057]","[0.316901, -0.129817, -0.939532]","[-0.283093, 0.045506, -0.958012]","[0.181791, -0.614730, -0.767502]","[-0.188954, -0.072019, -0.979341]","[0.111497, -0.955638, -0.272624]","[0.273695, 0.663445, -0.696370]","[-0.016208, 0.995943, -0.088520]","[-0.003287, 0.204668, 0.978826]"
"[-0.408002, 0.327460, 0.852235]","[-0.744313, 0.304984, 0.594124]","[-0.547732, -0.352313, 0.758858]","[0.259164, 0.054355, -0.964303]","[-0.272065, 0.132379, -0.953130]","[0.150627, -0.636003, -0.756843]","[-0.166679, -0.123745, -0.978215]","[0.100294, -0.958390, -0.267262]","[0.179239, 0.589339, -0.787752]","[0.004945, 0.995004, -0.099716]","[-0.159114, 0.251331, 0.954733]"
"[-0.449253, 0.332022, 0.829417]","[-0.761214, 0.332907, 0.556530]","[-0.602865, -0.279839, 0.747157]","[0.122700, 0.174511, -0.976980]","[-0.213060, 0.208237, -0.954590]","[0.096180, -0.644638, -0.758414]","[-0.137703, -0.161480, -0.977222]","[-0.081384, -0.940462, -0.330013]","[0.136275, 0.555283, -0.820420]","[-0.002905, 0.995470, -0.095033]","[-0.068102, 0.346473, 0.935585]"
"[-0.473372, 0.333017, 0.815486]","[-0.770769, 0.351877, 0.531129]","[-0.615321, -0.212378, 0.759128]","[-0.000354, 0.275297, -0.961359]","[-0.145220, 0.268564, -0.952252]","[0.028230, -0.625552, -0.779672]","[-0.075554, -0.140657, -0.987171]","[-0.008696, -0.921574, -0.388106]","[0.210619, 0.503928, -0.837673]","[-0.055641, 0.993713, -0.097152]","[0.027600, 0.402232, 0.915122]"
"[-0.470121, 0.337573, 0.815494]","[-0.769726, 0.375257, 0.516435]","[-0.693140, -0.250323, 0.675941]","[-0.053183, 0.327465, -0.943366]","[-0.111468, 0.297504, -0.948191]","[0.026573, -0.574817, -0.817851]","[-0.055279, -0.161268, -0.985361]","[-0.098404, -0.886175, -0.452780]","[0.149001, 0.636494, -0.756752]","[-0.177106, 0.979313, -0.097873]","[-0.069630, 0.064186, 0.995506]"
"[-0.448737, 0.341805, 0.825715]","[-0.774790, 0.395544, 0.493198]","[-0.758626, -0.330780, 0.561312]","[-0.099483, 0.385516, -0.917322]","[-0.057887, 0.283305, -0.957281]","[0.018274, -0.493921, -0.869315]","[-0.054152, -0.194613, -0.979384]","[-0.046850, -0.862805, -0.503361]","[0.142826, 0.643157, -0.752296]","[-0.264878, 0.949340, -0.169095]","[-0.117389, -0.446060, 0.887271]"
"[-0.440053, 0.304110, 0.844908]","[-0.778922, 0.400814, 0.482315]","[-0.805126, -0.332140, 0.491380]","[-0.111834, 0.432234, -0.894800]","[-0.016763, 0.284044, -0.958665]","[0.029610, -0.457790, -0.888567]","[-0.048024, -0.206956, -0.977171]","[-0.095571, -0.853594, -0.512098]","[0.253274, 0.611770, -0.749393]","[-0.253533, 0.944126, -0.210587]","[-0.172403, -0.670467, 0.721631]"
"[-0.462024, 0.242575, 0.853048]","[-0.786752, 0.399575, 0.470490]","[-0.848964, -0.253820, 0.463504]","[-0.130420, 0.436922, -0.889994]","[-0.018216, 0.273913, -0.961582]","[0.052949, -0.382276, -0.922530]","[-0.039363, -0.224230, -0.973741]","[-0.047349, -0.888341, -0.456737]","[0.373457, 0.623718, -0.686663]","[-0.185226, 0.925605, -0.330071]","[-0.144125, -0.894733, 0.422707]"
"[-0.463608, 0.208811, 0.861084]","[-0.772934, 0.419813, 0.475741]","[-0.885724, -0.221343, 0.408044]","[-0.183933, 0.397523, -0.898968]","[0.003281, 0.246855, -0.969047]","[0.093326, -0.280560, -0.955289]","[-0.033180, -0.267235, -0.963060]","[-0.094091, -0.901566, -0.422287]","[0.403322, 0.641680, -0.652364]","[-0.222648, 0.836096, -0.501370]","[-0.056527, -0.967135, 0.247902]"
"[-0.438417, 0.228600, 0.869214]","[-0.761151, 0.433909, 0.482050]","[-0.925330, -0.126449, 0.357457]","[-0.243615, 0.354657, -0.902701]","[0.027817, 0.200543, -0.979290]","[0.098245, -0.188804, -0.977088]","[-0.031185, -0.285609, -0.957839]","[-0.008439, -0.960229, -0.279086]","[0.488338, 0.559743, -0.669487]","[-0.182442, 0.667730, -0.721700]","[-0.064087, -0.997688, -0.022607]"
"[-0.436811, 0.232686, 0.868938]","[-0.756189, 0.451432, 0.473695]","[-0.940459, -0.033065, 0.338295]","[-0.265180, 0.344746, -0.900461]","[0.045381, 0.172904, -0.983893]","[0.096113, -0.135862, -0.986055]","[-0.051150, -0.325521, -0.944150]","[0.000417, -0.958786, -0.284130]","[0.560571, 0.539505, -0.628247]","[-0.200071, 0.504936, -0.839650]","[-0.083064, -0.996027, -0.032116]"
"[-0.421341, 0.247076, 0.872597]","[-0.749060, 0.473843, 0.463014]","[-0.931284, 0.025421, 0.363407]","[-0.268282, 0.350791, -0.897201]","[0.072940, 0.217067, -0.973428]","[0.055933, -0.108726, -0.992497]","[-0.030088, -0.331020, -0.943144]","[0.012542, -0.968122, -0.250163]","[0.634704, 0.465696, -0.616666]","[-0.127019, 0.440560, -0.888692]","[0.134536, -0.969542, -0.204668]"
"[-0.420053, 0.256633, 0.870457]","[-0.748189, 0.478423, 0.459701]","[-0.925676, 0.069965, 0.371791]","[-0.255911, 0.342092, -0.904147]","[0.048303, 0.241293, -0.969249]","[0.029195, -0.094415, -0.995105]","[0.017864, -0.295585, -0.955149]","[-0.001925, -0.969558, -0.244852]","[0.650788, 0.432057, -0.624341]","[-0.229608, 0.488016, -0.842093]","[0.247895, -0.967669, -0.046538]"
"[-0.427926, 0.289956, 0.856040]","[-0.772789, 0.468250, 0.428415]","[-0.918050, 0.093323, 0.385324]","[-0.293672, 0.355394, -0.887385]","[0.037269, 0.221725, -0.974397]","[-0.013763, -0.040849, -0.999071]","[0.072613, -0.274001, -0.958984]","[0.042602, -0.983751, -0.174411]","[0.642799, 0.435991, -0.629858]","[-0.178508, 0.458432, -0.870617]","[0.268413, -0.923542, -0.273907]"
"[-0.415546, 0.291128, 0.861723]","[-0.780970, 0.458138, 0.424495]","[-0.898236, 0.074169, 0.433209]","[-0.326919, 0.373622, -0.868062]","[0.039758, 0.230087, -0.972358]","[-0.041723, -0.026093, -0.998788]","[0.087024, -0.255320, -0.962932]","[-0.013055, -0.970910, -0.239090]","[0.620230, 0.510115, -0.595900]","[-0.232881, 0.364537, -0.901598]","[0.127242, -0.929729, -0.345563]"
"[-0.400175, 0.299206, 0.866219]","[-0.799243, 0.443451, 0.405663]","[-0.902832, 0.114174, 0.414558]","[-0.378450, 0.384911, -0.841795]","[0.011886, 0.249183, -0.968384]","[-0.125660, -0.007038, -0.992048]","[0.125479, -0.277089, -0.952616]","[0.063196, -0.978826, -0.194693]","[0.713589, 0.386176, -0.584515]","[-0.241702, 0.307830, -0.920228]","[-0.046497, -0.945198, -0.323169]"
"[-0.387584, 0.319832, 0.864573]","[-0.792832, 0.463498, 0.395711]","[-0.910766, 0.107169, 0.398772]","[-0.418905, 0.362631, -0.832477]","[-0.021360, 0.234478, -0.971887]","[-0.195987, -0.001390, -0.980605]","[0.142380, -0.282148, -0.948747]","[0.030691, -0.979933, -0.196951]","[0.710962, 0.228334, -0.665129]","[-0.260123, 0.296301, -0.918989]","[-0.210225, -0.960278, -0.183499]"
"[-0.373483, 0.354987, 0.857026]","[-0.797847, 0.461949, 0.387354]","[-0.922834, 0.073916, 0.378039]","[-0.487933, 0.343240, -0.802563]","[-0.025938, 0.209444, -0.977477]","[-0.264172, -0.009213, -0.964432]","[0.158476, -0.275294, -0.948208]","[0.099970, -0.979260, -0.176228]","[0.591955, 0.023402, -0.805631]","[-0.215053, 0.330549, -0.918961]","[-0.286240, -0.952426, -0.104647]"
"[-0.381338, 0.364706, 0.849453]","[-0.815407, 0.432563, 0.384709]","[-0.917022, 0.079533, 0.390827]","[-0.550119, 0.344458, -0.760735]","[-0.015495, 0.172451, -0.984896]","[-0.311456, -0.022800, -0.949987]","[0.160120, -0.247204, -0.955642]","[0.058155, -0.980088, -0.189856]","[0.486133, 0.068903, -0.871164]","[-0.210515, 0.368905, -0.905313]","[-0.370413, -0.927998, -0.040181]"
"[-0.392501, 0.369034, 0.842471]","[-0.828435, 0.410582, 0.380943]","[-0.905879, 0.157543, 0.393145]","[-0.601747, 0.353396, -0.716249]","[-0.004490, 0.125223, -0.992118]","[-0.363022, 0.008234, -0.931744]","[0.143881, -0.225990, -0.963445]","[0.109031, -0.979445, -0.169704]","[0.407393, 0.096429, -0.908148]","[-0.144691, 0.421746, -0.895095]","[-0.462853, -0.886155, 0.022299]"
"[-0.406377, 0.380438, 0.830738]","[-0.817790, 0.423305, 0.389914]","[-0.883804, 0.193238, 0.426085]","[-0.610676, 0.388079, -0.690268]","[0.008650, 0.077404, -0.996962]","[-0.392439, 0.040089, -0.918904]","[0.121223, -0.219304, -0.968096]","[0.080502, -0.966200, -0.244903]","[0.331688, 0.088800, -0.939201]","[-0.158779, 0.405839, -0.900047]","[-0.488000, -0.867394, 0.097384]"
"[-0.398047, 0.393298, 0.828779]","[-0.815454, 0.423866, 0.394172]","[-0.891501, 0.226185, 0.392512]","[-0.604799, 0.421874, -0.675455]","[0.021987, 0.050839, -0.998465]","[-0.404402, 0.077509, -0.911291]","[0.124584, -0.219136, -0.967708]","[0.010063, -0.962655, -0.270543]","[0.295889, 0.178839, -0.938332]","[-0.198511, 0.375052, -0.905499]","[-0.562069, -0.810779, 0.163450]"
"[-0.407191, 0.368455, 0.835725]","[-0.807763, 0.421163, 0.412482]","[-0.874807, 0.233723, 0.424366]","[-0.605801, 0.416341, -0.677986]","[0.011753, 0.041354, -0.999075]","[-0.423467, 0.081662, -0.902223]","[0.131843, -0.229931, -0.964235]","[-0.150783, -0.924356, -0.350472]","[0.179967, 0.502534, -0.845619]","[-0.226709, 0.377789, -0.897707]","[-0.624735, -0.749214, 0.219964]"
